# FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
# n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
169730.00000,1.12000,152.70410,339.46000,20990.75000,2.00000,0.00000,0.00000,0.00000,0.00000,545.90757,140.93940,2330.69231,-2.44614,132.69600,1.43060,3.34500,56.50119,0.00000,1.00000,148.93710,0.00000,0.00000,0.00000,4.00000,0.00000
169740.00000,1.14000,155.68290,339.48000,20991.59000,2.00000,0.00000,0.00000,0.00000,0.00000,546.47782,140.97940,2330.16919,-2.43497,132.75810,1.41536,3.66000,56.50119,0.00000,1.00000,148.93710,0.00000,0.00000,0.00000,4.00000,0.00000
169750.00000,1.16000,158.70910,339.50000,20992.43000,2.00000,0.00000,0.00000,0.00000,0.00000,547.04995,141.01930,2329.64204,-2.40805,132.82270,1.41385,3.94500,56.50119,0.00000,1.00000,151.31170,0.00000,0.00000,0.00000,4.00000,0.00000
169760.00000,1.18000,161.73540,339.52000,20993.27000,2.00000,0.00000,0.00000,0.00000,0.00000,547.62517,141.05930,2329.10976,-2.38501,132.89030,1.41869,4.24500,56.50119,0.00000,1.00000,151.31170,0.00000,0.00000,0.00000,4.00000,0.00000
169770.00000,1.20000,164.76160,339.54000,20994.11000,2.00000,0.00000,0.00000,0.00000,0.00000,548.20422,141.09970,2328.57161,-2.37946,132.95860,1.42726,4.50000,56.50119,0.00000,1.00000,151.31170,0.00000,0.00000,0.00000,4.00000,0.00000
169780.00000,1.22000,167.78780,339.56000,20994.96000,2.00000,0.00000,0.00000,0.00000,0.00000,548.78710,141.14040,2328.02759,-2.38580,133.03930,1.45348,4.72500,56.50119,0.00000,1.00000,151.31170,0.00000,0.00000,0.00000,4.00000,0.00000
169790.00000,1.24000,170.81410,339.58000,20995.80000,2.00000,0.00000,0.00000,0.00000,0.00000,549.37517,141.18070,2327.47640,-2.38916,133.13720,1.48335,4.92000,56.50119,0.00000,1.00000,151.31170,0.00000,0.00000,0.00000,4.00000,0.00000
169800.00000,1.26000,173.88660,339.60000,20996.65000,2.00000,0.00000,0.00000,0.00000,0.00000,549.96805,141.22060,2326.91836,-2.38437,133.22780,1.48629,5.07000,56.50119,0.00000,1.00000,153.62570,0.00000,0.00000,0.00000,4.00000,0.00000
169810.00000,1.28000,176.95910,339.62000,20997.51000,2.00000,0.00000,0.00000,0.00000,0.00000,550.56726,141.26060,2326.35195,-2.37891,133.31850,1.51131,5.14500,56.50119,0.00000,1.00000,153.62570,0.00000,0.00000,0.00000,4.00000,0.00000
169820.00000,1.30000,180.03160,339.64000,20998.37000,2.00000,0.00000,0.00000,0.00000,0.00000,551.17226,141.30130,2325.77768,-2.38147,133.41150,1.57274,5.17500,56.50119,0.00000,1.00000,153.62570,0.00000,0.00000,0.00000,4.00000,0.00000
169830.00000,1.32000,183.10410,339.66000,20999.22000,2.00000,0.00000,0.00000,0.00000,0.00000,551.78394,141.34230,2325.19467,-2.39410,133.50690,1.59492,5.17500,56.50119,0.00000,1.00000,153.62570,0.00000,0.00000,0.00000,4.00000,0.00000
169840.00000,1.34000,186.17660,339.68000,21000.09000,2.00000,0.00000,0.00000,0.00000,0.00000,552.40258,141.38420,2324.60265,-2.42432,133.60030,1.57781,5.17500,56.50119,0.00000,1.00000,153.62570,0.00000,0.00000,0.00000,4.00000,0.00000
169850.00000,1.36000,189.29440,339.70000,21000.95000,2.00000,0.00000,0.00000,0.00000,0.00000,553.02745,141.42720,2324.00233,-2.46863,133.69920,1.61228,5.17500,56.50119,0.00000,1.00000,155.88840,0.00000,0.00000,0.00000,4.00000,0.00000
169860.00000,1.38000,192.41220,339.72000,21001.81000,2.00000,0.00000,0.00000,0.00000,0.00000,553.65974,141.47200,2323.39259,-2.53699,133.80610,1.61606,5.17500,56.50119,0.00000,1.00000,155.88840,0.00000,0.00000,0.00000,4.00000,0.00000
169870.00000,1.40000,195.52990,339.74000,21002.68000,2.00000,0.00000,0.00000,0.00000,0.00000,554.29845,141.51790,2322.77441,-2.61270,133.91050,1.56053,5.17500,56.50119,0.00000,1.00000,155.88840,0.00000,0.00000,0.00000,4.00000,0.00000
169880.00000,1.42000,198.64770,339.76000,21003.55000,2.00000,0.00000,0.00000,0.00000,0.00000,554.94388,141.56390,2322.14755,-2.66843,134.00550,1.50333,5.17500,56.50119,0.00000,1.00000,155.88840,0.00000,0.00000,0.00000,4.00000,0.00000
169890.00000,1.44000,201.76550,339.78000,21004.43000,2.00000,0.00000,0.00000,0.00000,0.00000,555.59542,141.60960,2321.51264,-2.68216,134.09970,1.48781,5.17500,56.50119,0.00000,1.00000,155.88840,0.00000,0.00000,0.00000,4.00000,0.00000
169900.00000,1.46000,204.92700,339.80000,21005.30000,2.00000,0.00000,0.00000,0.00000,0.00000,556.25246,141.65400,2320.87031,-2.63809,134.19770,1.42565,5.20500,56.50119,0.00000,1.00000,158.07610,0.00000,0.00000,0.00000,4.00000,0.00000
169910.00000,1.48000,208.08850,339.82000,21006.18000,2.00000,0.00000,0.00000,0.00000,0.00000,556.91484,141.69780,2320.22075,-2.57019,134.29680,1.38007,5.34000,56.50119,0.00000,1.00000,158.07610,0.00000,0.00000,0.00000,4.00000,0.00000
169920.00000,1.50000,211.25010,339.84000,21007.06000,2.00000,0.00000,0.00000,0.00000,0.00000,557.58160,141.74170,2319.56495,-2.51093,134.39880,1.33324,5.49000,56.50119,0.00000,1.00000,158.07610,0.00000,0.00000,0.00000,4.00000,0.00000
169930.00000,1.52000,214.41160,339.86000,21007.95000,2.00000,0.00000,0.00000,0.00000,0.00000,558.25305,141.78600,2318.90264,-2.47983,134.50690,1.32756,5.65500,56.50119,0.00000,1.00000,158.07610,0.00000,0.00000,0.00000,4.00000,0.00000
169940.00000,1.54000,217.57310,339.88000,21008.83000,2.00000,0.00000,0.00000,0.00000,0.00000,558.92803,141.83070,2318.23496,-2.48883,134.62050,1.33480,5.80500,56.50119,0.00000,1.00000,158.07610,0.00000,0.00000,0.00000,4.00000,0.00000
169950.00000,1.56000,220.77710,339.90000,21009.72000,2.00000,0.00000,0.00000,0.00000,0.00000,559.60526,141.87540,2317.56321,-2.51370,134.72980,1.34041,5.91000,56.50119,0.00000,1.00000,160.19950,0.00000,0.00000,0.00000,4.00000,0.00000
169960.00000,1.58000,223.98110,339.92000,21010.61000,2.00000,0.00000,0.00000,0.00000,0.00000,560.28422,141.91930,2316.88790,-2.52737,134.84140,1.34626,5.97000,56.50119,0.00000,1.00000,160.19950,0.00000,0.00000,0.00000,4.00000,0.00000
169970.00000,1.60000,227.18510,339.94000,21011.50000,2.00000,0.00000,0.00000,0.00000,0.00000,560.96445,141.96290,2316.20945,-2.53088,134.95710,1.36538,5.95500,56.50119,0.00000,1.00000,160.19950,0.00000,0.00000,0.00000,4.00000,0.00000
169980.00000,1.62000,230.38910,339.96000,21012.40000,2.00000,0.00000,0.00000,0.00000,0.00000,561.64415,142.00660,2315.52964,-2.52594,135.06720,1.39882,5.67000,56.50119,0.00000,1.00000,160.19950,0.00000,0.00000,0.00000,4.00000,0.00000
169990.00000,1.64000,233.59310,339.98000,21013.29000,2.00000,0.00000,0.00000,0.00000,0.00000,562.32253,142.05100,2314.84922,-2.52799,135.17670,1.41166,5.38500,56.50119,0.00000,1.00000,160.19950,0.00000,0.00000,0.00000,4.00000,0.00000
170000.00000,1.66000,236.83910,340.00000,21014.19000,2.00000,0.00000,0.00000,0.00000,0.00000,562.99961,142.09650,2314.16811,-2.54974,135.28190,1.38761,4.99500,56.50119,0.00000,1.00000,162.30440,0.00000,0.00000,0.00000,4.00000,0.00000
170010.00000,1.68000,240.08520,340.02000,21015.09000,2.00000,0.00000,0.00000,0.00000,0.00000,563.67367,142.14270,2313.48795,-2.57443,135.37840,1.37154,4.56000,56.50119,0.00000,1.00000,162.30440,0.00000,0.00000,0.00000,4.00000,0.00000
170020.00000,1.70000,243.33130,340.04000,21016.00000,2.00000,0.00000,0.00000,0.00000,0.00000,564.34412,142.18910,2312.80926,-2.59006,135.47290,1.38247,4.15500,56.50119,0.00000,1.00000,162.30440,0.00000,0.00000,0.00000,4.00000,0.00000
170030.00000,1.72000,246.57740,340.06000,21016.90000,2.00000,0.00000,0.00000,0.00000,0.00000,565.00995,142.23540,2312.13294,-2.58963,135.56270,1.35838,4.00500,56.50119,0.00000,1.00000,162.30440,0.00000,0.00000,0.00000,4.00000,0.00000
